,Member,rmse
0,M04158,0.0
1,M08075,10.606601717798213
2,M09303,6.363961030678928
3,M09736,0.7071067811865476
4,M12050,7.0710678118654755
5,M12127,7.7781745930520225
6,M14746,2.1213203435596424
7,M16218,3.5355339059327378
8,M16611,15.556349186104045
9,M18732,16.97056274847714
10,M22037,9.192388155425117
11,M25900,43.840620433565945
12,M27458,17.67766952966369
13,M27871,14.142135623730951
14,M31101,21.213203435596427
15,M31908,18.384776310850235
16,M31966,2.8284271247461903
17,M32039,97.58073580374356
18,M32409,17.67766952966369
19,M32449,2.1213203435596424
20,M32480,16.97056274847714
21,M32655,2.1213203435596424
22,M33064,0.7071067811865476
23,M33422,18.384776310850235
24,M33491,16.97056274847714
25,M33558,45.254833995939045
26,M33745,0.0
27,M33767,16.97056274847714
28,M34566,21.920310216782973
29,M35070,3.5355339059327378
30,M35464,42.42640687119285
31,M35538,0.7071067811865476
32,M35649,9.192388155425117
33,M36366,11.313708498984761
34,M36432,2.1213203435596424
35,M36702,22.627416997969522
36,M36876,14.849242404917497
37,M37253,38.18376618407357
38,M37600,4.949747468305833
39,M38622,4.242640687119285
40,M39021,1.4142135623730951
41,M40184,106.06601717798213
42,M41700,33.94112549695428
43,M41747,6.363961030678928
44,M41781,4.242640687119285
45,M42182,15.556349186104045
46,M42513,10.606601717798213
47,M42827,6.363961030678928
48,M43189,2.1213203435596424
49,M43831,4.949747468305833
50,M43977,15.556349186104045
51,M44156,7.7781745930520225
52,M45375,20.506096654409877
53,M45470,13.435028842544403
54,M46325,3.5355339059327378
55,M46328,9.192388155425117
56,M46575,7.0710678118654755
57,M46687,9.192388155425117
58,M47229,9.192388155425117
59,M48101,12.727922061357855
60,M48154,9.192388155425117
61,M48938,8.48528137423857
62,M50038,103.94469683442249
63,M50094,50.91168824543142
64,M50420,2.1213203435596424
65,M50767,112.42997820866105
66,M51043,2.1213203435596424
67,M51278,21.213203435596427
68,M52629,19.091883092036785
69,M54100,44.54772721475249
70,M54345,9.899494936611665
71,M54382,7.7781745930520225
72,M54619,35.35533905932738
73,M54796,2.1213203435596424
74,M55932,18.384776310850235
75,M56255,7.7781745930520225
76,M56309,13.435028842544403
77,M56368,6.363961030678928
78,M56489,2.1213203435596424
79,M56516,11.313708498984761
80,M56897,22.627416997969522
81,M57093,0.7071067811865476
82,M57327,38.890872965260115
83,M57354,15.556349186104045
84,M58761,1.4142135623730951
85,M58939,13.435028842544403
86,M59012,13.435028842544403
87,M59232,106.77312395916867
88,M62656,16.263455967290593
89,M62833,10.606601717798213
90,M63404,8.48528137423857
91,M64055,33.23401871576773
92,M64379,36.062445840513924
93,M76390,7.7781745930520225
94,M77779,4.949747468305833
95,M78365,7.0710678118654755
96,M78720,25.45584412271571
97,M82651,2.8284271247461903
98,M84827,0.7071067811865476
99,M86304,21.920310216782973
100,M86572,1.4142135623730951
101,M90375,3.5355339059327378
102,M91098,9.192388155425117
103,M96365,0.0
104,M99030,6.363961030678928
105,M99206,8.48528137423857
